ID,date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup,winner,station_id,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,snow_depth_mm,avg_wind_dir_deg,avg_wind_speed_kmh,peak_wind_gust_kmh,avg_sea_level_pres_hpa,sunshine_total_min
847,1968-11-06,Scotland,Australia,9,3,1968 Australia tour of Great Britain and Ireland,Murrayfield Stadium,Edinburgh,Scotland,False,False,home_team,,,,,,,,,,,,
848,1968-11-09,France,South Africa,9,12,1968 South Africa rugby union tour of France,Parc Lescure,Bordeaux,France,False,False,away_team,07510,Autumn,,7.2,13.0,0.0,,,,,,
851,1969-01-25,Ireland,France,17,9,1969 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team,03969,Winter,,7.9,11.2,0.0,,,,,,
852,1969-02-01,Scotland,Wales,3,17,1969 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False,away_team,,,,,,,,,,,,
853,1969-02-08,Ireland,England,17,15,1969 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team,03969,Winter,,-5.7,2.3,0.0,,,,,,
854,1969-02-22,Scotland,Ireland,0,16,1969 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False,away_team,,,,,,,,,,,,
855,1969-02-22,England,France,22,8,1969 Five Nations Championship,Twickenham,London,England,False,False,home_team,,,,,,,,,,,,
857,1969-03-15,England,Scotland,8,3,1969 Five Nations Championship,Twickenham Stadium,London,England,False,False,home_team,,,,,,,,,,,,
858,1969-03-22,France,Wales,8,8,1969 Five Nations Championship,Stade Colombes,Paris,France,False,False,,07149,Spring,,0.7,10.3,0.0,,,,,,
860,1969-05-31,New Zealand,Wales,19,0,"1969 Wales tour of New Zealand, Australia and Fiji",Lancaster Park,Christchurch,New Zealand,False,False,home_team,93781,Autumn,,-0.8,12.5,,,,,,,
861,1969-06-14,New Zealand,Wales,33,12,"1969 Wales tour of New Zealand, Australia and Fiji",Eden Park,Auckland,New Zealand,False,False,home_team,,,,,,,,,,,,
862,1969-06-21,Australia,Wales,16,19,"1969 Wales tour of Australia, New Zealand and Fiji",Sydney Cricket Ground,Sydney,Australia,False,False,away_team,94767,Winter,14.8,13.4,16.0,22.6,,,,,,
865,1969-09-06,South Africa,Australia,11,3,1969 Australia tour of South Africa,Newlands Stadium,Cape Town,South Africa,False,False,home_team,,,,,,,,,,,,
866,1969-09-20,South Africa,Australia,19,8,1969 Australia tour of South Africa,Free State Stadium,Bloemfontein,South Africa,False,False,home_team,68442,Spring,,,,0.0,,,,,,
867,1969-12-06,Scotland,South Africa,6,3,1969–70 South Africa rugby union tour of Britain and Ireland,Murrayfield,Edinburgh,Scotland,False,False,home_team,,,,,,,,,,,,
868,1969-12-20,England,South Africa,11,8,1969-70 South Africa rugby union tour of Britain and Ireland,Twickenham,London,England,False,False,home_team,,,,,,,,,,,,
869,1970-01-10,Scotland,France,9,11,1970 Five Nations Championship,Murrayfield,Edinburgh,Scotland,False,False,away_team,,,,,,,,,,,,
870,1970-01-10,Ireland,South Africa,8,8,1969–70 South Africa rugby union tour of Britain and Ireland,Lansdowne Road,Dublin,Ireland,False,False,,03969,Winter,,2.8,8.5,7.0,,,,,,
872,1970-01-24,France,Ireland,8,0,1970 Five Nations Championship,Colombes,Paris,France,False,False,home_team,07149,Winter,,6.3,9.8,4.9,,,,,,
874,1970-02-14,England,Ireland,9,3,1970 Five Nations Championship,Twickenham,London,England,False,False,home_team,,,,,,,,,,,,
875,1970-02-21,Scotland,England,14,5,1970 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False,home_team,,,,,,,,,,,,
876,1970-02-28,Ireland,Scotland,16,11,1970 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team,03969,Winter,,1.5,6.4,0.0,,,,,,
877,1970-02-28,England,Wales,13,17,1970 Five Nations Championship,Twickenham,London,England,False,False,away_team,,,,,,,,,,,,
878,1970-03-14,Ireland,Wales,14,0,1970 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team,03969,Spring,,1.3,8.4,0.0,,,,,,
881,1970-06-06,Australia,Scotland,23,3,1970 Scotland tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False,home_team,94767,Winter,,7.7,15.9,0.0,,,,,,
882,1970-07-25,South Africa,New Zealand,17,6,1970 New Zealand tour,Loftus Versfeld Stadium,Pretoria,South Africa,False,False,home_team,,,,,,,,,,,,
883,1970-08-08,South Africa,New Zealand,8,9,1970 New Zealand tour,Newlands,Cape Town,South Africa,False,False,away_team,,,,,,,,,,,,
888,1971-01-30,Ireland,France,9,9,1971 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,,03969,Winter,,-5.0,3.5,0.0,,,,,,
889,1971-02-06,Scotland,Wales,18,19,1971 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False,away_team,,,,,,,,,,,,
